date,rank,songs,artist
1971,40,Never Can Say Goodbye,Jackson 5
1971,41,Rose Garden,Lynn Anderson
1971,42,Don't Pull Your Love,"Hamilton, Joe Frank & Reynolds"
1971,43,It Don't Come Easy,Ringo Starr
1971, 44,Mr. Bojangles,Nitty Gritty Dirt Band
1971,46,Whatcha See Is Whatcha Get,The Dramatics
1971,47,That's The Way I've Always Heard It Should Be,Carly Simon
1971,48, If You Really Love Me,Stevie Wonder
1971,49,Spanish Harlem,Aretha Franklin
1971,52,Bridge Over Troubled Water,Aretha Franklin
1971,54,Draggin' The Line,Tommy James
1971,55,Proud Mary,Ike & Tina Turner
1971,56,Beginnings/Colour My World,Chicago
1971,58,Sweet City Woman,Stampeders
1971,61,If,Bread
1971,62,"Mercy, Mercy Me (The Ecology)",Marvin Gaye
1971,65,Bring The Boys Home,Freda Payne
1971,66, I Just Want To Celebrate,Rare Earth
1971,67,Never Ending Song Of Love,Delaney & Bonnie & Friends
1971,68,Easy Loving,Freddie Hart
1971,69,Liar,Three Dog Night
1971,70,Stick-Up,The Honey Cone
1971,73, Wild World,Cat Stevens
1971,74,"When You're Hot, You're Hot",Jerry Reed
1971,76,If Not For You,Olivia Newton-John
1971,77,Groove Me,King Floyd
1971,78,Watching Scotty Grow,Bobby Goldsboro
1971,79,Woodstock,Matthews' Southern Comfort
1971,80,Amazing Grace,Judy Collins
1971,82,Lonely Days,Bee Gees
1971,85,Trapped By A Thing Called Love,Denise LaSalle
1971,86,Mama's Pearl,Jackson 5
1971,88,I Woke Up In Love This Morning,The Partridge Family
1971,90,If I Were Your Woman,Gladys Knight And The Pips
1971,92,Wedding Song (There Is Love),Paul Stookey
1971,95,Here Comes The Sun,Richie Havens
1971,96,Sweet Mary,Wadsworth Mansion
1971,97,Right On The Tip Of My Tongue,Brenda & The Tabulations
1971,99,Riders On The Storm,The Doors
1971,100,It's Impossible,Perry Como
1972,2,Alone Again (Naturally),Gilbert O'Sullivan
1972,3,American Pie (Parts I & II),Don McLean
1972,4,Without You, Nilsson
1972,6,I Gotcha,Joe Tex
1972,7,Lean On Me,Bill Withers
1972,8,Baby Don't Get Hooked On Me,Mac Davis
1972,9,Brand New Key,Melanie
1972,10,Daddy Don't You Walk So Fast,Wayne Newton
1972,11,Let's Stay Together,Al Green
1972,12,Brandy (You're A Fine Girl),Looking Glass
1972,13,Oh Girl,Chi-Lites
1972,14,Nice To Be With You,Gallery
1972,15,My Ding-A-Ling,Chuck Berry
1972,17,Heart Of Gold,Neil Young
1972,18,"Betcha By Golly, Wow",The Stylistics
1972,19,I'll Take You There,The Staple Singers
1972,20,Ben,Michael Jackson
1972,23,Slippin' Into Darkness,War
1972,26,A Horse With No Name,America
1972,27,Song Sung Blue,Neil Diamond
1972,28,Popcorn,Hot Butter
1972,29,Everybody Plays The Fool,The Main Ingredient
1972,30,Precious And Few,Climax
1972,32,Nights In White Satin,The Moody Blues
1972,33,Go All The Way,Raspberries
1972,34,Too Late To Turn Back Now,Cornelius Brothers & Sister Rose
1972,35,Back Stabbers,The O'Jays
1972,38,Sunshine,Jonathan Edwards
1972,39,Day After Day,Badfinger
1972,40,Rocket Man,Elton John
1972,41,Rockin' Robin,Michael Jackson
1972,42,Beautiful Sunday,Daniel Boone
1972,43,Scorpio,Dennis Coffey & The Detroit Guitar Band
1972,44,Morning Has Broken,Cat Stevens
1972,46,Garden Party,Rick Nelson
1972,47,I Can See Clearly Now,Johnny Nash
1972,48,Burning Love,Elvis Presley
1972,49,Clean Up Woman,Betty Wright
1972,50,Hold Your Head Up,Argent
1972,52,Everything I Own,Bread
1972,53,In The Rain,The Dramatics
1972,54,Look What You Done For Me,Al Green
1972,56,Where Is The Love,Roberta Flack & Donny Hathaway
1972,57,Bang A Gong (Get It On),T. Rex
1972,58,Mother And Child Reunion,Paul Simon
1972,"59
 ",I'm Still In Love With You,Al Green
1972,60,Layla,Derek & The Dominos
1972,61,Day Dreaming,Aretha Franklin
1972,63,Black And White,Three Dog Night
1972,65,Hurting Each Other,Carpenters
1972,66,Coconut,Nilsson
1972,67,Don't Say You Don't Remember,Beverly Bremers
1972,68,Puppy Love,Donny Osmond
1972,69,You Don't Mess Around With Jim,Jim Croce
1972,70,Hot Rod Lincoln,Commander Cody & His Lost Planet Airmen
1972,72,Joy,Apollo 100
1972,73,Anticipation,Carly Simon
1972,74,Never Been To Spain,Three Dog Night
1972,76,School's Out,Alice Cooper
1972,77,Saturday In The Park,Chicago
1972,78,Drowning In The Sea Of Love,Joe Simon
1972,79,Use Me,Bill Withers
1972,80,Family Affair,Sly & The Family Stone
1972,84,Power Of Love,Joe Simon
1972,85,Ain't Understanding Mellow,Jerry Butler & Brenda Lee Eager
1972,86,Taxi,Harry Chapin
1972,87,Sealed With A Kiss,Bobby Vinton
1972,88,I SAW THE LIGHT,Todd Rundgren
1972,89,Motorcycle Mama,Sailcat
1972,90,Day By Day,Godspell
1972,91,Roundabout,Yes
1972,92,Doctor My Eyes,Jackson Browne
1972,95,Baby Let Me Take You (In My Arms),Detroit Emeralds
1972,96,Speak To The Sky,Rick Springfield
1973,2,"Bad, Bad Leroy Brown","Jim Croce
 "
1973,3,Killing Me Softly With His Song,Roberta Flack
1973,4,Let's Get It On,Marvin Gaye
1973,7,Crocodile Rock,Elton John
1973,8,Will It Go Round In Circles,Billy Preston
1973,9,You're So Vain,Carly Simon
1973,10,Touch Me In The Morning,Diana Ross
1973,11,The Night The Lights Went Out In Georgia,Vicki Lawrence
1973,12,Playground In My Mind,Clint Holmes
1973,14,Delta Dawn,Helen Reddy
1973,16,Frankenstein,Edgar Winter Group
1973,18,Little Willy,The Sweet
1973,19,You Are The Sunshine Of My Life,Stevie Wonder
1973,20,Half Breed,Cher
1973,21,That Lady,The Isley Brothers
1973,23,We're An American Band,Grand Funk Railroad
1973,24,"Right Place, Wrong Time",Dr. John
1973,25,Wildflower,Skylark
1973,26,Superstition,Stevie Wonder
1973,28,The Morning After,Maureen McGovern
1973,29,Rocky Mountain High,John Denver
1973,30,Stuck In The Middle With You,Stealers Wheel
1973,31,Shambala,Three Dog Night
1973,32,Love Train,The O'Jays
1973,35,Keep On Truckin',Eddie Kendricks
1973,36,Danny's Song,Anne Murray
1973,37,Dancing In The Moonlight,King Harvest
1973,39,Natural High,Bloodstone
1973,40,Diamond Girl,Seals & Crofts
1973,41,Long Train Running,The Doobie Brothers
1973,42,Give Me Love (Give Me Peace On Earth),George Harrison
1973,43,If You Want Me To Stay,Sly & The Family Stone
1973,44,Daddy's Home,Jermaine Jackson
1973,45,Neither One Of Us (Wants To Be The First To Say Goodbye),Gladys Knight And The Pips
1973,46,I'm Doing Fine Now,New York City
1973,47,Could It Be I'm Falling In Love,Spinners
1973,48,Daniel,Elton John
1973,49,Midnight Train To Georgia,Gladys Knight And The Pips
1973,50,Smoke On The Water,Deep Purple
1973,52,Behind Closed Doors,Charlie Rich
1973,53,Your Mama Don't Dance,Loggins & Messina
1973,54,Feelin' Stronger Every Day,Chicago
1973,55,Cisco Kid,War
1973,56,Live And Let Die,Wings
1973,58,I Believe In You,Johnnie Taylor
1973,59,Sing,Carpenters
1973,61,Dueling Banjos,Eric Weissberg & Steve Mandell
1973,62,Higher Ground,Stevie Wonder
1973,63,Here I Am (Come And Take Me),Al Green
1973,65,Superfly,Curtis Mayfield
1973,66,Last Song,Edward Bear
1973,67,Get Down,Gilbert O'Sullivan
1973,68,Reelin' In The Years,Steely Dan
1973,69,Hocus Pocus,Focus
1973,70,Yesterday Once More,Carpenters
1973,71,Boogie Woogie Bugle Boy,Bette Midler
1973,72,Clair,Gilbert O'Sullivan
1973,73,Do It Again,Steely Dan
1973,74,Kodachrome,Paul Simon
1973,75,Why Can't We Live Together,Timmy Thomas
1973,77,So Very Hard To Go,Tower Of Power
1973,80,Masterpiece,The Temptations
1973,81,Peaceful,Helen Reddy
1973,82,One Of A Kind (Love Affair),Spinners
1973,83,Funny Face, Donna Fargo
1973,84,Funky Worm,Ohio Players
1973,85,ANGIE,The Rolling Stones
1973,87,Don't Expect Me To Be Your Friend,Lobo
1973,88,Break Up To Make Up,The Stylistics
1973,89,Daisy A Day,Jud Strunk
1973,90,Also Sprach Zarathustra (2001),Deodato
1973,91,Stir It Up,Johnny Nash
1973,92,Money,Pink Floyd
1973,93,Gypsy Man,War
1973,94,The World Is A Ghetto,War
1973,95,Yes We Can Can,The Pointer Sisters
1973,96,FREE RIDE,"Edgar Winter Group
 "
1973,97,Space Oddity,David Bowie
1973,98,It Never Rains In Southern California,Albert Hammond
1973,99,The Twelfth Of Never,Donny Osmond
1974,1,The Way We Were,Barbra Streisand
1974,2,Seasons In The Sun,Terry Jacks
1974,3,Love's Theme,Love Unlimited Orchestra
1974,4,Come And Get Your Love,Redbone
1974,5,Dancing Machine,Jackson 5
1974,7,Tsop,MFSB
1974,8,The Streak,Ray Stevens
1974,9,Bennie And The Jets, Elton John
1974,10,One Hell Of A Woman,Mac Davis
1974,11,Until You Come Back To Me (That's What I'm Gonna Do),Aretha Franklin
1974,12,Jungle Boogie,Kool & The Gang
1974,13,Midnight At The Oasis,Maria Muldaur
1974,14,You Make Me Feel Brand New,The Stylistics
1974,15,Show And Tell,Al Wilson
1974,17, Rock On,David Essex
1974,18,Sunshine On My Shoulders,John Denver
1974,20,Hooked On A Feeling,Blue Swede
1974,22,Band On The Run,Paul McCartney And Wings
1974,23,The Most Beautiful Girl,Charlie Rich
1974,24,Time In A Bottle,Jim Croce
1974,25,Annie's Song,John Denver
1974,27,Let Me Be There,Olivia Newton-John
1974,28,Sundown,Gordon Lightfoot
1974,29,Rock Me Gently,Andy Kim
1974,30,Boogie Down,Eddie Kendricks
1974,31,You're Sixteen,Ringo Starr
1974,32,If You Love Me (let Me Know),Olivia Newton-John
1974,33,Dark Lady,Cher
1974,35,Feel Like Makin' Love,Roberta Flack
1974,36,Just Don't Want To Be Lonely,The Main Ingredient
1974,37,Nothing From Nothing,Billy Preston
1974,39,Top Of The World,Carpenters
1974,40,THE JOKER,The Steve Miller Band
1974,41,I've Got To Use My Imagination,Gladys Knight And The Pips
1974,42,The Show Must Go On,Three Dog Night
1974,44,Living For The City,Stevie Wonder
1974,46,Then Came You,Dionne Warwick And The Spinners
1974,47,The Night Chicago Died,Paper Lace
1974,48,The Entertainer,Marvin Hamlisch
1974,49,Waterloo,ABBA
1974,50,The Air That I Breathe,The Hollies
1974,51,Rikki Don't Lose That Number,Steely Dan
1974,53,Help Me,Joni Mitchell
1974,54,You Won't See Me,Anne Murray
1974,57,You And Me Against The World,Helen Reddy
1974,60,Be Thankful For What You Got,William DeVaughn
1974,61,Hang On In There Baby,Johnny Bristol
1974,62,Eres Tu (Touch The Wind),Mocedades
1974,64,Radar Love,Golden Earring
1974,65,Please Come To Boston,Dave Loggins
1974,66,Keep On Smilin',Wet Willie
1974,67,Lookin' For A Love,Bobby Womack
1974,68,Put Your Hands Together,The O'Jays
1974,69,On And On,Gladys Knight And The Pips
1974,70,Oh Very Young,Cat Stevens
1974,71,Leave Me Alone (ruby Red Dress),Helen Reddy
1974,72,Goodbye Yellow Brick Road,Elton John
1974,74,Oh My My,Ringo Starr
1974,75, For The Love Of Money,The O'Jays
1974,76,I Shot The Sheriff,Eric Clapton
1974,77,Jet,Paul McCartney And Wings
1974,78,Don't Let The Sun Go Down On Me,Elton John
1974,79,Tubular Bells,Mike Oldfield
1974,80,Love Song,Anne Murray
1974,82,Hello It's Me,Todd Rundgren
1974,83,I Love,Tom T. Hall
1974,84,Clap For The Wolfman,The Guess Who
1974,85,I'll Have To Say I Love You In A Song,Jim Croce
1974,86,The Lord's Prayer,Sister Janet Mead
1974,87,Trying To Hold On To My Woman,Lamont Dozier
1974,89,A Very Special Love Song,Charlie Rich
1974,90,My Girl Bill,Jim Stafford
1974,91,Helen Wheels,Paul McCartney And Wings
1974,92,My Mistake Was To Love You,Diana Ross And Marvin Gaye
1974,93,Wildwood Weed,Jim Stafford
1974,94,Beach Baby,First Class
1974,95,Me And Baby Brother,War
1974,96,Rockin' Roll Baby,The Stylistics
1974,97,I Honestly Love You,Olivia Newton-John
1974,98,Call On Me,Chicago
1974,99,Wild Thing,Fancy
1975,1,Love Will Keep Us Together,Captain & Tennille
1975,2,Rhinestone Cowboy,Glen Campbell
1975,3,Philadelphia Freedom,Elton John
1975,4,Before The Next Teardrop Falls,Freddy Fender
1975,5,My Eyes Adored You,Frankie Valli
1975,6,Some Kind Of Wonderful,Grand Funk
1975,8,Fame,David Bowie
1975,9,Laughter In The Rain,Neil Sedaka
1975,10,One Of These Nights,Eagles
1975,11, Thank God I'm A Country Boy,John Denver
1975,12,Jive Talkin',Bee Gees
1975,13,Best Of My Love,Eagles
1975,14,Lovin' You,Minnie Riperton
1975,15,Kung Fu Fighting,Carl Douglas
1975,16,Black Water,The Doobie Brothers
1975,17,Ballroom Blitz,Sweet
1975,18,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas
1975,19,He Don't Love You (Like I Love You),Tony Orlando & Dawn
1975,20,At Seventeen,Janis Ian
1975,21,Pick Up The Pieces,Average White Band
1975,23,Lady Marmalade,Labelle
1975,24,Why Can't We Be Friends?,War
1975,25,Love Won't Let Me Wait,Major Harris
1975,26,Boogie On Reggae Woman,Stevie Wonder
1975,28,Angie Baby,Helen Reddy
1975,30,Jackie Blue,Ozark Mountain Daredevils
1975,31,Fire,Ohio Players
1975,32,"Magic
 ",Pilot
1975,33,Please Mr. Postman,Carpenters
1975,34,Sister Golden Hair,America
1975,35,Lucy In The Sky With Diamonds,Elton John
1975,36,Mandy,Barry Manilow
1975,37,Have You Never Been Mellow,Olivia Newton-John
1975,38,Could It Be Magic,Barry Manilow
1975,39,Cat's In The Cradle,Harry Chapin
1975,40,Wildfire,Michael Murphey
1975,43,I'm Not In Love,10cc
1975,44,I Can Help,Billy Swan
1975,45,Fallin' In Love,"Hamilton, Joe Frank & Reynolds"
1975,46,Feelings,Morris Albert
1975,47,When Will I Be Loved,Linda Ronstadt
1975,48,Chevy Van,Sammy Johns
1975,49," You're The First, The Last, My Everything",Barry White
1975,50,Please Mr. Please,Olivia Newton-John
1975,51,You're No Good,Linda Ronstadt
1975,53,Walking In Rhythm,The Blackbyrds
1975,54,The Way We Were/try To Remember,Gladys Knight And The Pips
1975,55,Midnight Blue,Melissa Manchester
1975,56,"Don't Call Us, We'll Call You",Sugarloaf/Jerry Corbetta
1975,57,Poetry Man,Phoebe Snow
1975,58,How Long,Ace
1975,59,Express,B.T. Express
1975,61,Lady,Styx
1975,62,Bad Time,Grand Funk
1975,63,Only Women Bleed,Alice Cooper
1975,64, Doctor's Orders,Carol Douglas
1975,66,One Man Woman/One Woman Man,Paul Anka with Odia Coates
1975,67,Feel Like Makin' Love,Bad Company
1975,68,How Sweet It Is (To Be Loved By You),James Taylor
1975,69,Dance With Me,Orleans
1975,70,Cut The Cake,Average White Band
1975,71,Never Can Say Goodbye,Gloria Gaynor
1975,72,I Don't Like To Sleep Alone,Paul Anka
1975,73,Morning Side Of The Mountain,Donny & Marie Osmond
1975,75,"Get Down, Get Down (Get On The Floor)",Joe Simon
1975,76,Killer Queen,Queen
1975,77,Shoeshine Boy,Eddie Kendricks
1975,79,Can't Get It Out Of My Head,Electric Light Orchestra
1975,80,Sha-la-la (makes Me Happy),Al Green
1975,81,Lonely People,America
1975,82,Rockford Files,Mike Post
1975,"83
 ",It Only Takes A Minute,Tavares
1975,85,No No Song/snookeroo,Ringo Starr
1975,87,Bungle In The Jungle,Jethro Tull
1975,88,Long Tall Glasses (I Can Dance),Leo Sayer
1975,89,Misty,Ray Stevens
1975,90,Someone Saved My Life Tonight,Elton John
1975,91,Bad Blood,Neil Sedaka
1975,92,Only Yesterday,Carpenters
1975,94,Only You,Ringo Starr
1975,95,Third Rate Romance,Amazing Rhythm Aces
1975,96,You Ain't Seen Nothing Yet/Free Wheelin',Bachman-Turner Overdrive
1975,97,Swearin' To God,Frankie Valli
1976,1,Silly Love Songs,Wings
1976,2,Don't Go Breaking My Heart,Elton John & Kiki Dee
1976,3,Disco Lady,Johnnie Taylor
1976,5,Play That Funky Music,Wild Cherry
1976,8,50 Ways To Leave Your Lover,Paul Simon
1976,9,Love Is Alive,Gary Wright
1976,10,A Fifth Of Beethoven,Walter Murphy & The Big Apple Band
1976, 12,Afternoon Delight,Starland Vocal Band
1976,13,I Write The Songs,Barry Manilow
1976,14,"Fly, Robin, Fly",Silver Convention
1976,15,Love Hangover,Diana Ross
1976,16,Get Closer,Seals & Crofts
1976,17,"More, More, More",Andrea True Connection
1976,18,Bohemian Rhapsody,Queen
1976,19,Misty Blue,Dorothy Moore
1976,20,Boogie Fever,The Sylvers
1976,21,I'd Really Love To See You Tonight,England Dan & John Ford Coley
1976,23,Love Hurts,Nazareth
1976,24,Get Up And Boogie,Silver Convention
1976,25,Take It To The Limit,Eagles
1976,27,Sweet Love,Commodores
1976,28,Right Back Where We Started From,Maxine Nightingale
1976,30,Love Rollercoaster,Ohio Players
1976,31,You Should Be Dancing,Bee Gees
1976,32,You'll Never Find Another Love Like Mine,Lou Rawls
1976,33,Golden Years,David Bowie
1976,34,Moonlight Feels Right,Starbuck
1976,35,"Only Sixteen
 ",Dr. Hook
1976,36,Let Your Love Flow,Bellamy Brothers
1976,38,Turn The Beat Around,Vicki Sue Robinson
1976,39,Lonely Night (angel Face),Captain & Tennille
1976,40,All By Myself,Eric Carmen
1976,41,Love To Love You Baby,Donna Summer
1976,42,Deep Purple,Donny & Marie Osmond
1976,44,Sweet Thing,Rufus Featuring Chaka Khan
1976,46,A Little Bit More,Dr. Hook
1976,47,Shannon,Henry Gross
1976,48,If You Leave Me Now,Chicago
1976,49,Lowdown,Boz Scaggs
1976,50,Show Me The Way,Peter Frampton
1976,51,Dream On,Aerosmith
1976,52,I Love Music (Part 1),The O'Jays
1976,53,Say You Love Me,Fleetwood Mac
1976,55,Devil Woman,Cliff Richard
1976,56,Fooled Around And Fell In Love,Elvin Bishop
1976,57,Convoy,C.W. McCall
1976,58,Welcome Back,John Sebastian
1976,59,Sing A Song,"Earth, Wind & Fire"
1976,60,HEAVEN MUST BE MISSING AN ANGEL,Tavares
1976,61,I'll Be Good To You,The Brothers Johnson
1976,62,Rock And Roll Music,The Beach Boys
1976,63,Shop Around,Captain & Tennille
1976,64,Saturday Night,Bay City Rollers
1976,65,Island Girl,Elton John
1976,66,Let's Do It Again (Soundtrack),The Staple Singers
1976,69,This Masquerade,George Benson
1976,70,Evil Woman,Electric Light Orchestra
1976,71,Wham Bam,Silver
1976,72,I'm Easy,Keith Carradine
1976,73,Wake Up Everybody (Part 1),Harold Melvin And The Blue Notes
1976,74,Summer,War
1976,75,Let Her In,John Travolta
1976,76,Fox On The Run,Sweet
1976,77,Rhiannon (Will You Ever Win),Fleetwood Mac
1976,78,Got To Get You Into My Life,The Beatles
1976,79,Fanny (Be Tender With My Love),Bee Gees
1976,80,Getaway,"Earth, Wind & Fire"
1976,82,Still The One,Orleans
1976,83,You're My Best Friend,Queen
1976,84,With Your Love,Jefferson Starship
1976,85,Slow Ride,Foghat
1976,86,Who'd She Coo?,Ohio Players
1976,87,The Boys Are Back In Town,Thin Lizzy
1976,88,Walk Away From Love, David Ruffin
1976,89,Baby I Love Your Way,Peter Frampton
1976,90,Young Hearts Run Free,Candi Staton
1976,91,Breaking Up Is Hard To Do,"Neil Sedaka
 "
1976,92,Money Honey,Bay City Rollers
1976,93,Tear The Roof Off The Sucker,Parliament
1976,94,Junk Food Junkie,Larry Groce
1976,95,Tryin' To Get The Feeling Again,Barry Manilow
1976,96,Rock And Roll All Night (Live Version),KISS
1976,97,Disco Duck,Rick Dees
1976,98,Take The Money And Run,The Steve Miller Band
1976,99,Squeeze Box,The Who
1976,100,Country Boy (you Got Your Feet In L.a.),Glen Campbell
1977,1,Tonight's The Night (Gonna Be Alright),Rod Stewart
1977,2,I Just Want To Be Your Everything,Andy Gibb
1977,3,Best Of My Love,The Emotions
1977,5,"Angel In Your Arms
 ",Hot
1977,6,I Like Dreamin',Kenny Nolan
1977,7,DON't LEAVE ME THIS WAY,Thelma Houston
1977,8,(Your Love Has Lifted Me) Higher And Higher,Rita Coolidge
1977,9,Undercover Angel,Alan O'Day
1977,10,Torn Between Two Lovers,Mary Macgregor
1977,12,Dancing Queen,ABBA
1977,13,You Make Me Feel Like Dancing,Leo Sayer
1977,14,Margaritaville,Jimmy Buffett
1977,15,Telephone Line,Electric Light Orchestra
1977,16,Whatcha Gonna Do?,Pablo Cruise
1977,18,Sir Duke,Stevie Wonder
1977,19,Hotel California,Eagles
1977,20,Got To Give It Up (Pt. 1),Marvin Gaye
1977,21,Theme From Rocky (gonna Fly Now),Bill Conti
1977,22,Southern Nights,Glen Campbell
1977,24,When I Need You,Leo Sayer
1977,25,Hot Line,The Sylvers
1977,26,Car Wash,Rose Royce
1977,28,Fly Like An Eagle,The Steve Miller Band
1977,29,Don't Give Up On Us,David Soul
1977,30,On And On,Stephen Bishop
1977,31,Feels Like The First Time,Foreigner
1977,32,Couldn't Get It Right,Climax Blues Band
1977,33,Easy,Commodores
1977,34,Right Time Of The Night,Jennifer Warnes
1977,35, I've Got Love On My Mind,Natalie Cole
1977,36,BLINDED BY THE LIGHT,Manfred Mann's Earth Band
1977,37,Looks Like We Made It,Barry Manilow
1977,38,So In To You, Atlanta Rhythm Section
1977,39,DREAMS,Fleetwood Mac
1977,41,DAZZ,Brick
1977,42,I'm In You,Peter Frampton
1977,43,Lucille,Kenny Rogers
1977,45,"Da Doo Ron Ron
 ",Shaun Cassidy
1977,46,Handy Man,James Taylor
1977,48,You And Me,Alice Cooper
1977,49,Swayin' To The Music (Slow Dancin'),Johnny Rivers
1977,50,Lonely Boy,Andrew Gold
1977,51,I Wish,Stevie Wonder
1977,52,Don't Stop,Fleetwood Mac
1977,53,Barracuda,Heart
1977,54,Strawberry Letter 23,The Brothers Johnson
1977,55,Night Moves,Bob Seger
1977,56,You're My World,Helen Reddy
1977,57,Heard It In A Love Song,Marshall Tucker Band
1977,58,Carry On Wayward Son,Kansas
1977,59,New Kid In Town/victim Of Love,Eagles
1977,61,After The Lovin',Engelbert Humperdinck
1977,62,Jet Airliner,The Steve Miller Band
1977,63,Stand Tall,Burton Cummings
1977,64,Way Down,Elvis Presley
1977,65,Weekend In New England,Barry Manilow
1977,66,It Was Almost Like A Song,Ronnie Milsap
1977,68,Cold As Ice,Foreigner
1977,69,Ariel,Dean Friedman
1977,70,Lost Without Your Love,Bread
1977,71,Theme From Star Wars,Meco
1977,72,Float On,The Floaters
1977,73,Jeans On,David Dundas
1977,74,Lido Shuffle,Boz Scaggs
1977,76,You Made Me Believe In Magic,Bay City Rollers
1977,77,Livin' Thing,Electric Light Orchestra
1977,78,Give A Little Bit,Supertramp
1977,80,Love So Right,Bee Gees
1977,82,I Never Cry,Alice Cooper
1977,83,Nobody Does It Better,Carly Simon
1977,84,High School Dance,The Sylvers
1977,85,Love's Grown Deep,Kenny Nolan
1977,86,Ain't Gonna Bump No More (with No Big Fat Woman),Joe Tex
1977,87,I Wanna Get Next To You,Rose Royce
1977,88,Somebody To Love,Queen
1977,89,Muskrat Love,Captain & Tennille
